date;open;High;low;close;volume
21/11/2002;12.420.000.076.293.900;12.470.000.267.028.800;12.010.000.228.881.800;12.420.000.076.293.900;9280424
22/11/2002;12.380.000.114.440.900;12.5;12.100.000.381.469.700;12.380.000.114.440.900;5649680
25/11/2002;12.470.000.267.028.800;12.630.000.114.440.900;12.380.000.114.440.900;12.470.000.267.028.800;6171028
26/11/2002;12.430.000.305.175.700;12.680.000.305.175.700;12.350.000.381.469.700;12.430.000.305.175.700;7725094
27/11/2002;12.699.999.809.265.100;12.699.999.809.265.100;12.300.000.190.734.800;12.699.999.809.265.100;5740625
28/11/2002;1.265.999.984.741.210;12.880.000.114.440.900;12.550.000.190.734.800;1.265.999.984.741.210;3606942
29/11/2002;1.265.999.984.741.210;12.869.999.885.559.000;12.520.000.457.763.600;1.265.999.984.741.210;5495031
02/12/2002;12.729.999.542.236.300;12.960.000.038.146.900;125.600.004.196.167;12.729.999.542.236.300;7375604
03/12/2002;12.609.999.656.677.200;13.029.999.732.971.100;12.579.999.923.706.000;12.609.999.656.677.200;4553178
04/12/2002;1.259.000.015.258.780;12.760.000.228.881.800;12.430.000.305.175.700;1.259.000.015.258.780;4645576
05/12/2002;12.489.999.771.118.100;12.979.999.542.236.300;12.449.999.809.265.100;12.489.999.771.118.100;5839825
09/12/2002;12.210.000.038.146.900;12.369.999.885.559.000;12.029.999.732.971.100;12.210.000.038.146.900;10162051
10/12/2002;12.300.000.190.734.800;12.390.000.343.322.700;12.109.999.656.677.200;12.300.000.190.734.800;4837911
11/12/2002;126.899.995.803.833;12.760.000.228.881.800;123.100.004.196.167;126.899.995.803.833;7170844
12/12/2002;12.5;12.789.999.961.853.000;12.229.999.542.236.300;12.5;5119397
13/12/2002;12.020.000.457.763.600;12.550.000.190.734.800;12.010.000.228.881.800;12.020.000.457.763.600;8023518
16/12/2002;12.489.999.771.118.100;12.510.000.228.881.800;11.979.999.542.236.300;12.489.999.771.118.100;5488408
17/12/2002;12.5;12.760.000.228.881.800;1.234.000.015.258.780;12.5;4927436
18/12/2002;12.220.000.267.028.800;12.670.000.076.293.900;12.100.000.381.469.700;12.220.000.267.028.800;6399696
19/12/2002;12.199.999.809.265.100;12.479.999.542.236.300;12.100.000.381.469.700;12.199.999.809.265.100;14661270
20/12/2002;12.779.999.732.971.100;12.779.999.732.971.100;12.229.999.542.236.300;12.779.999.732.971.100;19668458
23/12/2002;12.960.000.038.146.900;12.989.999.771.118.100;12.619.999.885.559.000;12.960.000.038.146.900;21296220
27/12/2002;12.420.000.076.293.900;12.899.999.618.530.200;12.420.000.076.293.900;12.420.000.076.293.900;3394390
30/12/2002;12.600.000.381.469.700;12.649.999.618.530.200;12.270.000.457.763.600;12.600.000.381.469.700;5933336
02/01/2003;13.119.999.885.559.000;131.899.995.803.833;12.609.999.656.677.200;13.119.999.885.559.000;14513281
03/01/2003;126.899.995.803.833;13.25;126.899.995.803.833;126.899.995.803.833;5517982
07/01/2003;12.829.999.923.706.000;13.050.000.190.734.800;12.760.000.228.881.800;12.829.999.923.706.000;28080062
08/01/2003;129.399.995.803.833;13.109.999.656.677.200;12.720.000.267.028.800;129.399.995.803.833;8825369
09/01/2003;12.850.000.381.469.700;13.149.999.618.530.200;12.699.999.809.265.100;12.850.000.381.469.700;10383450
10/01/2003;12.979.999.542.236.300;1.309.000.015.258.780;128.100.004.196.167;12.979.999.542.236.300;28749968
13/01/2003;129.399.995.803.833;13.350.000.381.469.700;12.890.000.343.322.700;129.399.995.803.833;29635394
14/01/2003;13.369.999.885.559.000;13.369.999.885.559.000;12.800.000.190.734.800;13.369.999.885.559.000;25386768
15/01/2003;13.75;138.100.004.196.167;13.270.000.457.763.600;13.75;34784084
16/01/2003;13.539.999.961.853.000;13.789.999.961.853.000;13.449.999.809.265.100;13.539.999.961.853.000;55251620
17/01/2003;13.420.000.076.293.900;1.359.000.015.258.780;13.359.999.656.677.200;13.420.000.076.293.900;31187738
20/01/2003;13.039.999.961.853.000;13.539.999.961.853.000;13.039.999.961.853.000;13.039.999.961.853.000;6415538
21/01/2003;13.039.999.961.853.000;13.380.000.114.440.900;12.979.999.542.236.300;13.039.999.961.853.000;7112268
22/01/2003;12.819.999.694.824.200;12.949.999.809.265.100;12.579.999.923.706.000;12.819.999.694.824.200;20656004
23/01/2003;13.260.000.228.881.800;13.289.999.961.853.000;12.720.000.267.028.800;13.260.000.228.881.800;59868096
24/01/2003;13.430.000.305.175.700;13.699.999.809.265.100;13.069.999.694.824.200;13.430.000.305.175.700;34348792
27/01/2003;13.020.000.457.763.600;13.489.999.771.118.100;12.930.000.305.175.700;13.020.000.457.763.600;11483908
28/01/2003;12.75;12.970.000.267.028.800;12.600.000.381.469.700;12.75;12361783
29/01/2003;12.859.999.656.677.200;13.140.000.343.322.700;12.359.999.656.677.200;12.859.999.656.677.200;31622784
